Country,CountryID,SatisfactionLife,DemocraticGov,NationalityPride,GNI/Capita($K),ConfidenceInPress,WillingnessToFight,HumanRights,Trust,Homicide/100 000,Internet/100,Refugees,People/km^2,% gov spend military
Andorra,null,7.13,8.38,7.69,42.99,5.67,6.06,6.90,4.66,0.80,61.20,null,178.96,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,7.79,7.87,8.62,7.28,5.43,7.13,5.59,4.52,null,25.34,3114.00,14.61,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,7.28,8.36,9.04,37.64,4.68,7.27,7.17,6.33,1.26,68.87,39908.60,2.73,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,7.65,7.66,7.87,5.98,5.68,7.06,5.94,3.89,null,30.63,7163.40,23.05,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,5.22,6.67,7.19,4.99,5.76,7.04,4.74,5.00,2.32,33.07,4855.00,69.50,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,5.57,8.23,9.32,0.47,5.26,8.20,5.72,4.20,0.72,0.78,531.40,52.19,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,7.76,8.05,8.87,40.10,5.43,7.25,7.74,6.18,1.68,74.85,163564.80,3.62,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,7.16,7.46,8.71,8.52,5.82,7.03,5.98,4.15,3.62,36.09,1293.60,22.14,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,6.76,5.32,7.29,2.60,5.93,8.92,6.38,6.77,1.28,17.31,301020.40,140.36,15.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,8.31,7.30,9.68,4.03,5.75,null,5.85,4.32,35.66,20.75,166.40,39.98,15.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
